date,user,location,text
2023-03-07 18:49:52+00:00,JustMyViews1111,"Texas, USA","They want to kill/control is all, smh

#Biden #USA #Trump #COVID19 #Ukraine #Russia #RussianArmy #UkraineFrontLines… https://t.co/w2rr5G2N5N"
2023-03-07 18:43:40+00:00,KerryKurkowski,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 18:40:40+00:00,MalukhaLucas,,RT @TlotlisoM_: Kgosientsho Sputla Ramokgopa was head of investments in the @PresidencyZA but the only investment ever made was the #COVID1…
2023-03-07 18:40:33+00:00,klgro,Minnesota,"RT @DanaSan68018976: Fox News alledges Covid19 was a Chinese bioweapon.  That's weird..because they also said it was a hoax, and encouraged…"
2023-03-07 18:38:39+00:00,Lulu_Graezinski,"Johannesburg, South Africa",RT @TlotlisoM_: Kgosientsho Sputla Ramokgopa was head of investments in the @PresidencyZA but the only investment ever made was the #COVID1…
2023-03-07 18:37:03+00:00,makssokol,,Myocarditis update from Sweden BY ANISH KOKA The COVID19/vaccine myocarditis debate continues in large part because… https://t.co/LRMswpJRe6
2023-03-07 18:36:43+00:00,shovas,Canada,"Saudi Hospital Research:

Breakthrough COVID-19 Vaccine Injury Study Links mRNA Vaccines to Triggering Autoimmune D… https://t.co/GSanN6goTt"
2023-03-07 18:36:36+00:00,SHADAC,"Minneapolis, MN","RT @NASHPhealth: The looming commercialization of #Covid19 vaccines will pose cost and access barriers, particularly for underinsured and u…"
2023-03-07 18:36:12+00:00,afmsaw2001,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 18:35:25+00:00,bayoubeau58,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 18:35:03+00:00,Ozzy_Kabanek,🇺🇲U.S.A. MURICA🇺🇲,RT @TlotlisoM_: Kgosientsho Sputla Ramokgopa was head of investments in the @PresidencyZA but the only investment ever made was the #COVID1…
2023-03-07 18:34:57+00:00,MaryS58459511,,RT @endocrineweb: Case reports suggest a possible link between #covid19vaccine and the development of conditions including #thyroiditis and…
2023-03-07 18:33:42+00:00,DueRoncin67,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
